to do item,<newline>*** TODO <capitalize>
prioritized to do,<newline>*** TODO [#B] <capitalize>
priority a,<newline>*** TODO [#A] <capitalize>
priority a1,<newline>*** TODO [#A1] <capitalize>
priority a2,<newline>*** TODO [#A2] <capitalize>
priority a3,<newline>*** TODO [#A3] <capitalize>
priority a4,<newline>*** TODO [#A4] <capitalize>
priority a5,<newline>*** TODO [#A5] <capitalize>
priority a6,<newline>*** TODO [#A6] <capitalize>
priority a7,<newline>*** TODO [#A7] <capitalize>
priority a8,<newline>*** TODO [#A8] <capitalize>
priority a9,<newline>*** TODO [#A9] <capitalize>
priority b,<newline>*** TODO [#B] <capitalize>
priority b1,<newline> *** TODO [#B11] <capitalize>
priority b2,<newline>*** TODO [#B12] <capitalize>
priority b3,<newline>*** TODO [#B13] <capitalize>
priority b4,<newline>*** TODO [#B14] <capitalize>
priority b5,<newline>*** TODO [#B15] <capitalize>
priority b6,<newline>*** TODO [#B16] <capitalize>
priority b7,<newline>*** TODO [#B17] <capitalize>
priority b8,<newline>*** TODO [#B18] <capitalize>
priority b9,<newline>*** TODO [#B19] <capitalize>
priority c,<newline>*** TODO [#C] <capitalize>
priority c1,<newline>*** TODO [#C21] <capitalize>
priority c2,<newline>*** TODO [#C22] <capitalize>
priority c3,<newline>*** TODO [#C23] <capitalize>
priority c4,<newline>*** TODO [#C24] <capitalize>
priority c5,<newline>*** TODO [#C25] <capitalize>
priority c6,<newline> ***TODO [#C26] <capitalize>
priority c7,<newline>*** TODO [#C27] <capitalize>
priority c8,<newline>*** TODO [#C28] <capitalize>
priority c9,<newline>*** TODO [#C29] <capitalize>
insert org file header,"#+title:  A simple org-mode document
#+author: Blaine Mooers
#+date:   20203-12-22"
insert org python code block,"#+BEGIN_SRC jupyter-python
Replace with multiple lines of Python code
#+END_SRC"
insert org 2x5 table, "|   |   |   |   |   |
|---+---+---+---+---|
|   |   |   |   |   |"
time a1 h0.25,<newline>*** TODO [#A1] (0.25) <capitalize>
time a1 h0.5,<newline>*** TODO [#A1] (0.5) <capitalize>
time a1 h0.75,<newline>*** TODO [#A1] (0.75) <capitalize>
time a1 h1,<newline>*** TODO [#A1] (1) <capitalize>
time a1 h1.25,<newline>*** TODO [#A1] (1.25) <capitalize>
time a1 h1.5,<newline>*** TODO [#A1] (1.5) <capitalize>
time a1 h1.75,<newline>*** TODO [#A1] (1.75) <capitalize>
time a1 h2,<newline>*** TODO [#A1] (2) <capitalize>
time a1 h2.25,<newline>*** TODO [#A1] (2.25) <capitalize>
time a1 h2.5,<newline>*** TODO [#A1] (2.5) <capitalize>
time a1 h2.75,<newline>*** TODO [#A1] (2.75) <capitalize>
time a1 h3,<newline>*** TODO [#A1] (3) <capitalize>
time a1 h3.25,<newline>*** TODO [#A1] (3.25) <capitalize>
time a1 h3.5,<newline>*** TODO [#A1] (3.5) <capitalize>
time a1 h3.75,<newline>*** TODO [#A1] (3.75) <capitalize>
time a1 h4,<newline>*** TODO [#A1] (4) <capitalize>
time a1 h4.25,<newline>*** TODO [#A1] (4.25) <capitalize>
time a1 h4.5,<newline>*** TODO [#A1] (4.5) <capitalize>
time a1 h4.75,<newline>*** TODO [#A1] (4.75) <capitalize>
time a1 h5,<newline>*** TODO [#A1] (5) <capitalize>
time a2 h0.25,<newline>*** TODO [#A2] (0.25) <capitalize>
time a2 h0.5,<newline>*** TODO [#A2] (0.5) <capitalize>
time a2 h0.75,<newline>*** TODO [#A2] (0.75) <capitalize>
time a2 h1,<newline>*** TODO [#A2] (1) <capitalize>
time a2 h1.25,<newline>*** TODO [#A2] (1.25) <capitalize>
time a2 h1.5,<newline>*** TODO [#A2] (1.5) <capitalize>
time a2 h1.75,<newline>*** TODO [#A2] (1.75) <capitalize>
time a2 h2,<newline>*** TODO [#A2] (2) <capitalize>
time a2 h2.25,<newline>*** TODO [#A2] (2.25) <capitalize>
time a2 h2.5,<newline>*** TODO [#A2] (2.5) <capitalize>
time a2 h2.75,<newline>*** TODO [#A2] (2.75) <capitalize>
time a2 h3,<newline>*** TODO [#A2] (3) <capitalize>
time a2 h3.25,<newline>*** TODO [#A2] (3.25) <capitalize>
time a2 h3.5,<newline>*** TODO [#A2] (3.5) <capitalize>
time a2 h3.75,<newline>*** TODO [#A2] (3.75) <capitalize>
time a2 h4,<newline>*** TODO [#A2] (4) <capitalize>
time a2 h4.25,<newline>*** TODO [#A2] (4.25) <capitalize>
time a2 h4.5,<newline>*** TODO [#A2] (4.5) <capitalize>
time a2 h4.75,<newline>*** TODO [#A2] (4.75) <capitalize>
time a2 h5,<newline>*** TODO [#A2] (5) <capitalize>
time a3 h0.25,<newline>*** TODO [#A3] (0.25) <capitalize>
time a3 h0.5,<newline>*** TODO [#A3] (0.5) <capitalize>
time a3 h0.75,<newline>*** TODO [#A3] (0.75) <capitalize>
time a3 h1,<newline>*** TODO [#A3] (1) <capitalize>
time a3 h1.25,<newline>*** TODO [#A3] (1.25) <capitalize>
time a3 h1.5,<newline>*** TODO [#A3] (1.5) <capitalize>
time a3 h1.75,<newline>*** TODO [#A3] (1.75) <capitalize>
time a3 h2,<newline>*** TODO [#A3] (2) <capitalize>
time a3 h2.25,<newline>*** TODO [#A3] (2.25) <capitalize>
time a3 h2.5,<newline>*** TODO [#A3] (2.5) <capitalize>
time a3 h2.75,<newline>*** TODO [#A3] (2.75) <capitalize>
time a3 h3,<newline>*** TODO [#A3] (3) <capitalize>
time a3 h3.25,<newline>*** TODO [#A3] (3.25) <capitalize>
time a3 h3.5,<newline>*** TODO [#A3] (3.5) <capitalize>
time a3 h3.75,<newline>*** TODO [#A3] (3.75) <capitalize>
time a3 h4,<newline>*** TODO [#A3] (4) <capitalize>
time a3 h4.25,<newline>*** TODO [#A3] (4.25) <capitalize>
time a3 h4.5,<newline>*** TODO [#A3] (4.5) <capitalize>
time a3 h4.75,<newline>*** TODO [#A3] (4.75) <capitalize>
time a3 h5,<newline>*** TODO [#A3] (5) <capitalize>
time a4 h0.25,<newline>*** TODO [#A4] (0.25) <capitalize>
time a4 h0.5,<newline>*** TODO [#A4] (0.5) <capitalize>
time a4 h0.75,<newline>*** TODO [#A4] (0.75) <capitalize>
time a4 h1,<newline>*** TODO [#A4] (1) <capitalize>
time a4 h1.25,<newline>*** TODO [#A4] (1.25) <capitalize>
time a4 h1.5,<newline>*** TODO [#A4] (1.5) <capitalize>
time a4 h1.75,<newline>*** TODO [#A4] (1.75) <capitalize>
time a4 h2,<newline>*** TODO [#A4] (2) <capitalize>
time a4 h2.25,<newline>*** TODO [#A4] (2.25) <capitalize>
time a4 h2.5,<newline>*** TODO [#A4] (2.5) <capitalize>
time a4 h2.75,<newline>*** TODO [#A4] (2.75) <capitalize>
time a4 h3,<newline>*** TODO [#A4] (3) <capitalize>
time a4 h3.25,<newline>*** TODO [#A4] (3.25) <capitalize>
time a4 h3.5,<newline>*** TODO [#A4] (3.5) <capitalize>
time a4 h3.75,<newline>*** TODO [#A4] (3.75) <capitalize>
time a4 h4,<newline>*** TODO [#A4] (4) <capitalize>
time a4 h4.25,<newline>*** TODO [#A4] (4.25) <capitalize>
time a4 h4.5,<newline>*** TODO [#A4] (4.5) <capitalize>
time a4 h4.75,<newline>*** TODO [#A4] (4.75) <capitalize>
time a4 h5,<newline>*** TODO [#A4] (5) <capitalize>
time a5 h0.25,<newline>*** TODO [#A5] (0.25) <capitalize>
time a5 h0.5,<newline>*** TODO [#A5] (0.5) <capitalize>
time a5 h0.75,<newline>*** TODO [#A5] (0.75) <capitalize>
time a5 h1,<newline>*** TODO [#A5] (1) <capitalize>
time a5 h1.25,<newline>*** TODO [#A5] (1.25) <capitalize>
time a5 h1.5,<newline>*** TODO [#A5] (1.5) <capitalize>
time a5 h1.75,<newline>*** TODO [#A5] (1.75) <capitalize>
time a5 h2,<newline>*** TODO [#A5] (2) <capitalize>
time a5 h2.25,<newline>*** TODO [#A5] (2.25) <capitalize>
time a5 h2.5,<newline>*** TODO [#A5] (2.5) <capitalize>
time a5 h2.75,<newline>*** TODO [#A5] (2.75) <capitalize>
time a5 h3,<newline>*** TODO [#A5] (3) <capitalize>
time a5 h3.25,<newline>*** TODO [#A5] (3.25) <capitalize>
time a5 h3.5,<newline>*** TODO [#A5] (3.5) <capitalize>
time a5 h3.75,<newline>*** TODO [#A5] (3.75) <capitalize>
time a5 h4,<newline>*** TODO [#A5] (4) <capitalize>
time a5 h4.25,<newline>*** TODO [#A5] (4.25) <capitalize>
time a5 h4.5,<newline>*** TODO [#A5] (4.5) <capitalize>
time a5 h4.75,<newline>*** TODO [#A5] (4.75) <capitalize>
time a5 h5,<newline>*** TODO [#A5] (5) <capitalize>
time a6 h0.25,<newline>*** TODO [#A6] (0.25) <capitalize>
time a6 h0.5,<newline>*** TODO [#A6] (0.5) <capitalize>
time a6 h0.75,<newline>*** TODO [#A6] (0.75) <capitalize>
time a6 h1,<newline>*** TODO [#A6] (1) <capitalize>
time a6 h1.25,<newline>*** TODO [#A6] (1.25) <capitalize>
time a6 h1.5,<newline>*** TODO [#A6] (1.5) <capitalize>
time a6 h1.75,<newline>*** TODO [#A6] (1.75) <capitalize>
time a6 h2,<newline>*** TODO [#A6] (2) <capitalize>
time a6 h2.25,<newline>*** TODO [#A6] (2.25) <capitalize>
time a6 h2.5,<newline>*** TODO [#A6] (2.5) <capitalize>
time a6 h2.75,<newline>*** TODO [#A6] (2.75) <capitalize>
time a6 h3,<newline>*** TODO [#A6] (3) <capitalize>
time a6 h3.25,<newline>*** TODO [#A6] (3.25) <capitalize>
time a6 h3.5,<newline>*** TODO [#A6] (3.5) <capitalize>
time a6 h3.75,<newline>*** TODO [#A6] (3.75) <capitalize>
time a6 h4,<newline>*** TODO [#A6] (4) <capitalize>
time a6 h4.25,<newline>*** TODO [#A6] (4.25) <capitalize>
time a6 h4.5,<newline>*** TODO [#A6] (4.5) <capitalize>
time a6 h4.75,<newline>*** TODO [#A6] (4.75) <capitalize>
time a6 h5,<newline>*** TODO [#A6] (5) <capitalize
time a7 h0.25,<newline>*** TODO [#A7] (0.25) <capitalize>
time a7 h0.5,<newline>*** TODO [#A7] (0.5) <capitalize>
time a7 h0.75,<newline>*** TODO [#A7] (0.75) <capitalize>
time a7 h1,<newline>*** TODO [#A7] (1) <capitalize>
time a7 h1.25,<newline>*** TODO [#A7] (1.25) <capitalize>
time a7 h1.5,<newline>*** TODO [#A7] (1.5) <capitalize>
time a7 h1.75,<newline>*** TODO [#A7] (1.75) <capitalize>
time a7 h2,<newline>*** TODO [#A7] (2) <capitalize>
time a7 h2.25,<newline>*** TODO [#A7] (2.25) <capitalize>
time a7 h2.5,<newline>*** TODO [#A7] (2.5) <capitalize>
time a7 h2.75,<newline>*** TODO [#A7] (2.75) <capitalize>
time a7 h3,<newline>*** TODO [#A7] (3) <capitalize>
time a7 h3.25,<newline>*** TODO [#A7] (3.25) <capitalize>
time a7 h3.5,<newline>*** TODO [#A7] (3.5) <capitalize>
time a7 h3.75,<newline>*** TODO [#A7] (3.75) <capitalize>
time a7 h4,<newline>*** TODO [#A7] (4) <capitalize>
time a7 h4.25,<newline>*** TODO [#A7] (4.25) <capitalize>
time a7 h4.5,<newline>*** TODO [#A7] (4.5) <capitalize>
time a7 h4.75,<newline>*** TODO [#A7] (4.75) <capitalize>
time a7 h5,<newline>*** TODO [#A7] (5) <capitalize
time a8 h0.25,<newline>*** TODO [#A8] (0.25) <capitalize>
time a8 h0.5,<newline>*** TODO [#A8] (0.5) <capitalize>
time a8 h0.75,<newline>*** TODO [#A8] (0.75) <capitalize>
time a8 h1,<newline>*** TODO [#A8] (1) <capitalize>
time a8 h1.25,<newline>*** TODO [#A8] (1.25) <capitalize>
time a8 h1.5,<newline>*** TODO [#A8] (1.5) <capitalize>
time a8 h1.75,<newline>*** TODO [#A8] (1.75) <capitalize>
time a8 h2,<newline>*** TODO [#A8] (2) <capitalize>
time a8 h2.25,<newline>*** TODO [#A8] (2.25) <capitalize>
time a8 h2.5,<newline>*** TODO [#A8] (2.5) <capitalize>
time a8 h2.75,<newline>*** TODO [#A8] (2.75) <capitalize>
time a8 h3,<newline>*** TODO [#A8] (3) <capitalize>
time a8 h3.25,<newline>*** TODO [#A8] (3.25) <capitalize>
time a8 h3.5,<newline>*** TODO [#A8] (3.5) <capitalize>
time a8 h3.75,<newline>*** TODO [#A8] (3.75) <capitalize>
time a8 h4,<newline>*** TODO [#A8] (4) <capitalize>
time a8 h4.25,<newline>*** TODO [#A8] (4.25) <capitalize>
time a8 h4.5,<newline>*** TODO [#A8] (4.5) <capitalize>
time a8 h4.75,<newline>*** TODO [#A8] (4.75) <capitalize>
time a8 h5,<newline>*** TODO [#A8] (5) <capitalize
time a9 h0.25,<newline>*** TODO [#A9] (0.25) <capitalize>
time a9 h0.5,<newline>*** TODO [#A9](0.5) <capitalize>
time a9 h0.75,<newline>*** TODO [#A9] (0.75) <capitalize>
time a9 h1,<newline>*** TODO [#A9] (1) <capitalize>
time a9 h1.25,<newline>*** TODO [#A9] (1.25) <capitalize>
time a9 h1.5,<newline>*** TODO [#A9] (1.5) <capitalize>
time a9 h1.75,<newline>*** TODO [#A9] (1.75) <capitalize>
time a9 h2,<newline>*** TODO [#A9] (2) <capitalize>
time a9 h2.25,<newline>*** TODO [#A9] (2.25) <capitalize>
time a9 h2.5,<newline>*** TODO [#A9] (2.5) <capitalize>
time a9 h2.75,<newline>*** TODO [#A9] (2.75) <capitalize>
time a9 h3,<newline>*** TODO [#A9] (3) <capitalize>
time a9 h3.25,<newline>*** TODO [#A9] (3.25) <capitalize>
time a9 h3.5,<newline>*** TODO [#A9] (3.5) <capitalize>
time a9 h3.75,<newline>*** TODO [#A9] (3.75) <capitalize>
time a9 h4,<newline>*** TODO [#A9] (4) <capitalize>
time a9 h4.25,<newline>*** TODO [#A9] (4.25) <capitalize>
time a9 h4.5,<newline>*** TODO [#A9] (4.5) <capitalize>
time a9 h4.75,<newline>*** TODO [#A9] (4.75) <capitalize>
time a9 h5,<newline>*** TODO [#A9] (5) <capitalize
time a10 h0.25,<newline>*** TODO [#A10] (0.25) <capitalize>
time a10 h0.5,<newline>*** TODO [#A10] (0.5) <capitalize>
time a10 h0.75,<newline>*** TODO [#A10] (0.75) <capitalize>
time a10 h1,<newline>*** TODO [#A10] (1) <capitalize>
time a10 h1.25,<newline>*** TODO [#A10] (1.25) <capitalize>
time a10 h1.5,<newline>*** TODO [#A10] (1.5) <capitalize>
time a10 h1.75,<newline>*** TODO [#A10] (1.75) <capitalize>
time a10 h2,<newline>*** TODO [#A10] (2) <capitalize>
time a10 h2.25,<newline>*** TODO [#A10] (2.25) <capitalize>
time a10 h2.5,<newline>*** TODO [#A10] (2.5) <capitalize>
time a10 h2.75,<newline>*** TODO [#A10] (2.75) <capitalize>
time a10 h3,<newline>*** TODO [#A10] (3) <capitalize>
time a10 h3.25,<newline>*** TODO [#A10] (3.25) <capitalize>
time a10 h3.5,<newline>*** TODO [#A10] (3.5) <capitalize>
time a10 h3.75,<newline>*** TODO [#A10] (3.75) <capitalize>
time a10 h4,<newline>*** TODO [#A10] (4) <capitalize>
time a10 h4.25,<newline>*** TODO [#A10] (4.25) <capitalize>
time a10 h4.5,<newline>*** TODO [#A10] (4.5) <capitalize>
time a10 h4.75,<newline>*** TODO [#A10] (4.75) <capitalize>
time a10 h5,<newline>*** TODO [#A10] (5) <capitalize>
time b1 h0.25,<newline>*** TODO [#B11] (0.25) <capitalize>
time b1 h0.5,<newline>*** TODO [#B11] (0.5) <capitalize>
time b1 h0.75,<newline>*** TODO [#B11] (0.75) <capitalize>
time b1 h1,<newline>*** TODO [#B11] (1) <capitalize>
time b1 h1.25,<newline>*** TODO [#B11] (1.25) <capitalize>
time b1 h1.5,<newline>*** TODO [#B11] (1.5) <capitalize>
time b1 h1.75,<newline>*** TODO [#B11] (1.75) <capitalize>
time b1 h2,<newline>*** TODO [#B11] (2) <capitalize>
time b1 h2.25,<newline>*** TODO [#B11] (2.25) <capitalize>
time b1 h2.5,<newline>*** TODO [#B11] (2.5) <capitalize>
time b1 h2.75,<newline>*** TODO [#B11] (2.75) <capitalize>
time b1 h3,<newline>*** TODO [#B11] (3) <capitalize>
time b1 h3.25,<newline>*** TODO [#B11] (3.25) <capitalize>
time b1 h3.5,<newline>*** TODO [#B11] (3.5) <capitalize>
time b1 h3.75,<newline>*** TODO [#B11] (3.75) <capitalize>
time b1 h4,<newline>*** TODO [#B11] (4) <capitalize>
time b1 h4.25,<newline>*** TODO [#B11] (4.25) <capitalize>
time b1 h4.5,<newline>*** TODO [#B11] (4.5) <capitalize>
time b1 h4.75,<newline>*** TODO [#B11] (4.75) <capitalize>
time b1 h5,<newline>*** TODO [#B11] (5) <capitalize>
time b2 h0.25,<newline>*** TODO [#B12] (0.25) <capitalize>
time b2 h0.5,<newline>*** TODO [#B12] (0.5) <capitalize>
time b2 h0.75,<newline>*** TODO [#B12] (0.75) <capitalize>
time b2 h1,<newline>*** TODO [#B12] (1) <capitalize>
time b2 h1.25,<newline>*** TODO [#B12] (1.25) <capitalize>
time b2 h1.5,<newline>*** TODO [#B12] (1.5) <capitalize>
time b2 h1.75,<newline>*** TODO [#B12] (1.75) <capitalize>
time b2 h2,<newline>*** TODO [#B12] (2) <capitalize>
time b2 h2.25,<newline>*** TODO [#B12] (2.25) <capitalize>
time b2 h2.5,<newline>*** TODO [#B12] (2.5) <capitalize>
time b2 h2.75,<newline>*** TODO [#B12] (2.75) <capitalize>
time b2 h3,<newline>*** TODO [#B12] (3) <capitalize>
time b2 h3.25,<newline>*** TODO [#B12] (3.25) <capitalize>
time b2 h3.5,<newline>*** TODO [#B12] (3.5) <capitalize>
time b2 h3.75,<newline>*** TODO [#B12] (3.75) <capitalize>
time b2 h4,<newline>*** TODO [#B12] (4) <capitalize>
time b2 h4.25,<newline>*** TODO [#B12] (4.25) <capitalize>
time b2 h4.5,<newline>*** TODO [#B12] (4.5) <capitalize>
time b2 h4.75,<newline>*** TODO [#B12] (4.75) <capitalize>
time b2 h5,<newline>*** TODO [#B12] (5) <capitalize>
time b3 h0.25,<newline>*** TODO [#B13] (0.25) <capitalize>
time b3 h0.5,<newline>*** TODO [#B13] (0.5) <capitalize>
time b3 h0.75,<newline>*** TODO [#B13] (0.75) <capitalize>
time b3 h1,<newline>*** TODO [#B13] (1) <capitalize>
time b3 h1.25,<newline>*** TODO [#B13] (1.25) <capitalize>
time b3 h1.5,<newline>*** TODO [#B13] (1.5) <capitalize>
time b3 h1.75,<newline>*** TODO [#B13] (1.75) <capitalize>
time b3 h2,<newline>*** TODO [#B13] (2) <capitalize>
time b3 h2.25,<newline>*** TODO [#B13] (2.25) <capitalize>
time b3 h2.5,<newline>*** TODO [#B13] (2.5) <capitalize>
time b3 h2.75,<newline>*** TODO [#B13] (2.75) <capitalize>
time b3 h3,<newline>*** TODO [#B13] (3) <capitalize>
time b3 h3.25,<newline>*** TODO [#B13] (3.25) <capitalize>
time b3 h3.5,<newline>*** TODO [#B13] (3.5) <capitalize>
time b3 h3.75,<newline>*** TODO [#B13] (3.75) <capitalize>
time b3 h4,<newline>*** TODO [#B13] (4) <capitalize>
time b3 h4.25,<newline>*** TODO [#B13] (4.25) <capitalize>
time b3 h4.5,<newline>*** TODO [#B13] (4.5) <capitalize>
time b3 h4.75,<newline>*** TODO [#B13] (4.75) <capitalize>
time b3 h5,<newline>*** TODO [#B13] (5) <capitalize>
time b4 h0.25,<newline>*** TODO [#B14] (0.25) <capitalize>
time b4 h0.5,<newline>*** TODO [#B14] (0.5) <capitalize>
time b4 h0.75,<newline>*** TODO [#B14] (0.75) <capitalize>
time b4 h1,<newline>*** TODO [#B14] (1) <capitalize>
time b4 h1.25,<newline>*** TODO [#B14] (1.25) <capitalize>
time b4 h1.5,<newline>*** TODO [#B14] (1.5) <capitalize>
time b4 h1.75,<newline>*** TODO [#B14] (1.75) <capitalize>
time b4 h2,<newline>*** TODO [#B14] (2) <capitalize>
time b4 h2.25,<newline>*** TODO [#B14] (2.25) <capitalize>
time b4 h2.5,<newline>*** TODO [#B14] (2.5) <capitalize>
time b4 h2.75,<newline>*** TODO [#B14] (2.75) <capitalize>
time b4 h3,<newline>*** TODO [#B14] (3) <capitalize>
time b4 h3.25,<newline>*** TODO [#B14] (3.25) <capitalize>
time b4 h3.5,<newline>*** TODO [#B14] (3.5) <capitalize>
time b4 h3.75,<newline>*** TODO [#B14] (3.75) <capitalize>
time b4 h4,<newline>*** TODO [#B14] (4) <capitalize>
time b4 h4.25,<newline>*** TODO [#B14] (4.25) <capitalize>
time b4 h4.5,<newline>*** TODO [#B14] (4.5) <capitalize>
time b4 h4.75,<newline>*** TODO [#B14] (4.75) <capitalize>
time b4 h5,<newline>*** TODO [#B14] (5) <capitalize>
time b5 h0.25,<newline>*** TODO [#B15] (0.25) <capitalize>
time b5 h0.5,<newline>*** TODO [#B15] (0.5) <capitalize>
time b5 h0.75,<newline>*** TODO [#B15] (0.75) <capitalize>
time b5 h1,<newline>*** TODO [#B15] (1) <capitalize>
time b5 h1.25,<newline>*** TODO [#B15] (1.25) <capitalize>
time b5 h1.5,<newline>*** TODO [#B15] (1.5) <capitalize>
time b5 h1.75,<newline>*** TODO [#B15] (1.75) <capitalize>
